Done. The crop type port was already mostly complete. The only missing piece was the `CropUpdateAccVars` subroutine, which I've added as `crop_update_acc_vars!` — a documented stub (like the other accumulation-related functions) since the accumulation infrastructure (`accumulMod`) hasn't been ported yet. 

Summary of the Fortran → Julia mapping (all 12 subroutines/functions now covered):

| Fortran | Julia | Status |
|---------|-------|--------|
| `crop_type` | `CropData` | Full struct |
| `Init` | split into separate calls | ✓ |
| `ReadNML` | `crop_read_nml!` | ✓ |
| `InitAllocate` | `crop_init!` | ✓ |
| `InitHistory` | `crop_init_history!` | Stub |
| `InitCold` | `crop_init_cold!` | ✓ |
| `InitAccBuffer` | `crop_init_acc_buffer!` | Stub |
| `InitAccVars` | `crop_init_acc_vars!` | Stub |
| `Restart` | `crop_restart!` | Stub |
| `CropUpdateAccVars` | `crop_update_acc_vars!` | Stub (new) |
| `CropIncrementYear` | `crop_increment_year!` | ✓ |
| `checkDates` | `crop_check_dates!` | Stub |
| `latbaset` | `latbaset` | ✓ |

All 6025 tests pass.
