date,sim_cms,obs_cms
2010-01-01,0.0000,0.6580
2010-01-02,0.0000,0.6530
2010-01-03,0.0000,0.6490
2010-01-04,0.0000,0.6460
2010-01-05,0.0000,0.6430
2010-01-06,0.0000,0.6400
2010-01-07,0.0000,0.6370
2010-01-08,0.0000,0.6350
2010-01-09,0.0001,0.6320
2010-01-10,0.0009,0.6290
2010-01-11,0.0000,0.6270
2010-01-12,0.0000,0.6250
2010-01-13,0.0000,0.6220
2010-01-14,0.0000,0.6200
2010-01-15,0.0000,0.6180
2010-01-16,0.0000,0.6160
2010-01-17,0.0000,0.6140
2010-01-18,0.0000,0.6120
2010-01-19,0.0000,0.6100
2010-01-20,0.0000,0.6080
2010-01-21,0.0000,0.6060
2010-01-22,0.0000,0.6050
2010-01-23,0.0000,0.6030
2010-01-24,0.0000,0.6020
2010-01-25,0.0000,0.6000
2010-01-26,0.0000,0.5990
2010-01-27,0.0000,0.5980
2010-01-28,0.0000,0.5970
2010-01-29,0.0000,0.5950
2010-01-30,0.0000,0.5940
2010-01-31,0.0000,0.5930
2010-02-01,0.0000,0.5920
2010-02-02,0.0000,0.5910
2010-02-03,0.0000,0.5910
2010-02-04,0.0000,0.5900
2010-02-05,0.0000,0.5890
2010-02-06,0.0000,0.5880
2010-02-07,0.0000,0.5870
2010-02-08,0.0000,0.5870
2010-02-09,0.0000,0.5860
2010-02-10,0.0000,0.5850
2010-02-11,0.0000,0.5840
2010-02-12,0.0000,0.5840
2010-02-13,0.0000,0.5830
2010-02-14,0.0000,0.5820
2010-02-15,0.0000,0.5810
2010-02-16,0.0000,0.5800
2010-02-17,0.0000,0.5800
2010-02-18,0.0000,0.5790
2010-02-19,0.0000,0.5780
2010-02-20,0.0000,0.5770
2010-02-21,0.0000,0.5760
2010-02-22,0.0000,0.5750
2010-02-23,0.0000,0.5740
2010-02-24,0.0000,0.5730
2010-02-25,0.0000,0.5720
2010-02-26,0.0000,0.5710
2010-02-27,0.0000,0.5700
2010-02-28,0.0000,0.5690
2010-03-01,0.0000,0.5680
2010-03-02,0.0000,0.5670
2010-03-03,0.0000,0.5660
2010-03-04,0.0000,0.5650
2010-03-05,0.0000,0.5640
2010-03-06,0.0000,0.5630
2010-03-07,0.0000,0.5620
2010-03-08,0.0000,0.5620
2010-03-09,0.0000,0.5610
2010-03-10,0.0000,0.5600
2010-03-11,0.0000,0.5590
2010-03-12,0.0000,0.5580
2010-03-13,0.0000,0.5580
2010-03-14,0.0000,0.5570
2010-03-15,0.0000,0.5570
2010-03-16,0.0000,0.5560
2010-03-17,0.0000,0.5560
2010-03-18,0.0000,0.5550
2010-03-19,0.0000,0.5550
2010-03-20,0.0000,0.5550
2010-03-21,0.0000,0.5550
2010-03-22,0.0000,0.5540
2010-03-23,0.0000,0.5540
2010-03-24,0.0000,0.5540
2010-03-25,0.0000,0.5540
2010-03-26,0.0000,0.5540
2010-03-27,0.0000,0.5540
2010-03-28,0.0000,0.5540
2010-03-29,0.0000,0.5540
2010-03-30,0.0000,0.5550
2010-03-31,0.0000,0.5550
2010-04-01,0.0000,0.5550
2010-04-02,0.0000,0.5550
2010-04-03,0.0000,0.5560
2010-04-04,0.0000,0.5560
2010-04-05,0.0000,0.5560
2010-04-06,0.0000,0.5560
2010-04-07,0.0000,0.5560
2010-04-08,0.0000,0.5570
2010-04-09,0.0000,0.5570
2010-04-10,0.0000,0.5570
2010-04-11,0.0000,0.5570
2010-04-12,0.0000,0.5580
2010-04-13,0.0000,0.5580
2010-04-14,0.0000,0.5580
2010-04-15,0.0000,0.5590
2010-04-16,0.0000,0.5590
2010-04-17,0.0000,0.5600
2010-04-18,0.0000,0.5610
2010-04-19,0.0000,0.5620
2010-04-20,0.0000,0.5630
2010-04-21,0.0000,0.5640
2010-04-22,0.0000,0.5650
2010-04-23,0.0000,0.5660
2010-04-24,0.0000,0.5670
2010-04-25,0.0000,0.5670
2010-04-26,0.0000,0.5680
2010-04-27,0.0000,0.5700
2010-04-28,0.0000,0.5730
2010-04-29,0.0000,0.5770
2010-04-30,0.0000,0.5840
2010-05-01,0.0000,0.5940
2010-05-02,0.0106,0.6060
2010-05-03,13.5388,0.6200
2010-05-04,0.0000,0.6360
2010-05-05,0.0000,0.6560
2010-05-06,0.0000,0.6800
2010-05-07,0.0000,0.7110
2010-05-08,0.8140,0.7510
2010-05-09,0.7860,0.8040
2010-05-10,0.4966,0.8760
2010-05-11,2.5965,0.9930
2010-05-12,3.8131,1.3800
2010-05-13,4.8365,3.8600
2010-05-14,27.4843,35.3000
2010-05-15,26.9724,94.8000
2010-05-16,33.3050,102.0000
2010-05-17,42.4750,136.0000
2010-05-18,36.2376,114.0000
2010-05-19,30.8741,113.0000
2010-05-20,28.0671,104.0000
2010-05-21,61.4707,69.5000
2010-05-22,180.6113,54.6000
2010-05-23,146.2124,47.0000
2010-05-24,89.5026,42.3000
2010-05-25,152.9632,74.8000
2010-05-26,138.2957,53.3000
2010-05-27,120.0091,40.6000
2010-05-28,109.9321,34.5000
2010-05-29,105.9757,30.9000
2010-05-30,103.6293,32.3000
2010-05-31,90.1685,27.9000
2010-06-01,54.4581,22.0000
2010-06-02,68.6703,23.6000
2010-06-03,106.4967,29.9000
2010-06-04,74.1769,25.2000
2010-06-05,34.2688,18.8000
2010-06-06,39.6476,14.9000
